website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
rania.com	9	39.13000%	0	0%	14	60.86900%	0	0%	
rdfanpress.com	761	61.47000%	83	6.70400%	322	26.00900%	72	5.81500%	
redir.masrawy.com	2	33.33300%	1	16.66600%	3	50.00000%	0	0%	
redir.yallakora.com	21	32.30700%	9	13.84600%	26	40.00000%	9	13.84600%	
saadahpress.net	30	32.60800%	5	5.43400%	54	58.69500%	3	3.26000%	
sabaapress.net	253	54.64300%	36	7.77500%	125	26.99700%	49	10.58300%	
sahafah.net	177915	64.79200%	18462	6.72300%	65320	23.78800%	12895	4.69600%	Yemen 
salehbashir.blogspirit.com	23	69.69600%	1	3.03000%	8	24.24200%	1	3.03000%	
sales.domcollect.com	0	0%	0	0%	10	90.90900%	1	9.09000%	
salmiya.net	3	16.66600%	2	11.11100%	11	61.11100%	2	11.11100%	
sam-news.net	17	38.63600%	3	6.81800%	15	34.09000%	9	20.45400%	
samaa-news.com	28	37.33300%	14	18.66600%	27	36.00000%	6	8.00000%	
sanaanews.net	48	42.10500%	12	10.52600%	45	39.47300%	9	7.89400%	
saudiinfocus.com	60392	84.07200%	2430	3.38200%	7700	10.71900%	1311	1.82500%	Saudi Arabia 
sauditimes.com	19	37.25400%	0	0%	31	60.78400%	1	1.96000%	
serv.tvtc.gov.sa	0	0%	1	4.34700%	22	95.65200%	0	0%	
shabwatoday.com	416	68.30800%	31	5.09000%	135	22.16700%	27	4.43300%	
shaheenalkhaleej.8k.com	0	0%	0	0%	10	100.00000%	0	0%	
shakespeare.mit.edu	6	50.00000%	0	0%	6	50.00000%	0	0%	
shi3r.4t.com	6	26.08600%	1	4.34700%	16	69.56500%	0	0%	
siniora.tripod.com	1	11.11100%	0	0%	8	88.88800%	0	0%	
sport4ever.maktoob.com	56	31.28400%	9	5.02700%	102	56.98300%	12	6.70300%	
sportbild.bild.de	9	7.62700%	1	.84700%	108	91.52500%	0	0%	
sports.naseej.com	18	38.29700%	2	4.25500%	18	38.29700%	9	19.14800%	
sportsmedicine.about.com	7	21.87500%	0	0%	23	71.87500%	2	6.25000%	
studying1.tripod.com	3	100.00000%	0	0%	0	0%	0	0%	
sudansafari.net	58888	74.38000%	6761	8.53900%	10952	13.83300%	2570	3.24600%	Sudan 
suezcanal.com	1	12.50000%	0	0%	7	87.50000%	0	0%	
suhail.net	5	45.45400%	0	0%	4	36.36300%	2	18.18100%	
syria.alsafahat.net	86	31.15900%	26	9.42000%	140	50.72400%	24	8.69500%	
taiztoday.com	62	38.50900%	13	8.07400%	74	45.96200%	12	7.45300%	
thawra.alwehda.gov.sy	592564	76.16400%	16195	2.08100%	124717	16.03000%	44529	5.72300%	Syria 
theblue-group.net	1	5.55500%	0	0%	16	88.88800%	1	5.55500%	
tkne.net	47	22.81500%	8	3.88300%	134	65.04800%	17	8.25200%	
tvjordan.com	11	28.94700%	0	0%	26	68.42100%	1	2.63100%	
tvtc.gov.sa	3	3.89600%	0	0%	71	92.20700%	3	3.89600%	
twitter.com	1	10.00000%	0	0%	9	90.00000%	0	0%	
uaeislands.tripod.com	1	25.00000%	1	25.00000%	2	50.00000%	0	0%	
unwto.org	6	17.14200%	0	0%	28	80.00000%	1	2.85700%	
uqu.edu.sa	15	27.77700%	3	5.55500%	25	46.29600%	11	20.37000%	
us.norton.com	4	36.36300%	0	0%	5	45.45400%	2	18.18100%	
vegetarian.about.com	2	14.28500%	0	0%	12	85.71400%	0	0%	
visualbasicnet.bravepages.com	8	61.53800%	3	23.07600%	2	15.38400%	0	0%	
watan.com	79	47.30500%	15	8.98200%	57	34.13100%	16	9.58000%	Algeria 
weather.weatherbug.com	0	0%	0	0%	0	0%	1	100.00000%	
web.jamalfayad.com	9	40.90900%	5	22.72700%	8	36.36300%	0	0%	
webdeveloper.earthweb.com	2	10.00000%	0	0%	17	85.00000%	1	5.00000%	
whatis.techtarget.com	2	5.40500%	4	10.81000%	28	75.67500%	3	8.10800%	
wordnet.princeton.edu	1	6.25000%	0	0%	15	93.75000%	0	0%	
www.1078fm.com	2	66.66600%	0	0%	1	33.33300%	0	0%	
www.123arab.com	4	66.66600%	0	0%	2	33.33300%	0	0%	
www.14march.org	942778	84.96500%	34534	3.11200%	101473	9.14500%	30814	2.77700%	Lebanon 
www.14october.com	4	5.26300%	0	0%	72	94.73600%	0	0%	
www.26sep.net	6618	72.05200%	633	6.89100%	1512	16.46100%	422	4.59400%	
www.2arb.com	1	9.09000%	0	0%	9	81.81800%	1	9.09000%	
www.2xx2.com	41	23.42800%	10	5.71400%	114	65.14200%	10	5.71400%	
www.3akarat.com	8	12.30700%	5	7.69200%	40	61.53800%	12	18.46100%	
www.3e6r.net	7	29.16600%	0	0%	15	62.50000%	2	8.33300%	
www.3mal.net	21	36.84200%	5	8.77100%	26	45.61400%	5	8.77100%	
www.3nabi.com	1	100.00000%	0	0%	0	0%	0	0%	
www.3rbb.net	33	11.61900%	28	9.85900%	205	72.18300%	18	6.33800%	
www.3rbnews.net	91397	71.26900%	9678	7.54600%	16263	12.68100%	10904	8.50200%	Jordan 
www.4arabs.com	0	0%	0	0%	5	100.00000%	0	0%	
www.4non.net	37803	64.79100%	4736	8.11700%	12881	22.07600%	2926	5.01400%	Morocco 
www.4walls.org	0	0%	3	30.00000%	7	70.00000%	0	0%	
www.5alid.com	6	15.38400%	2	5.12800%	26	66.66600%	5	12.82000%	
www.6rb.com	47	18.43100%	27	10.58800%	156	61.17600%	25	9.80300%	
www.7ulum.com	7	16.27900%	1	2.32500%	32	74.41800%	3	6.97600%	
www.7up.com	0	0%	0	0%	1	100.00000%	0	0%	
www.7wwa.com	34	16.34600%	8	3.84600%	159	76.44200%	7	3.36500%	
www.9haty.com	23	58.97400%	1	2.56400%	12	30.76900%	3	7.69200%	
www.a7la.com	53	30.99400%	13	7.60200%	83	48.53800%	22	12.86500%	
www.aabu.edu.jo	34	72.34000%	0	0%	8	17.02100%	5	10.63800%	
www.aawsat.com	27360	59.20100%	3060	6.62100%	13290	28.75600%	2505	5.42000%	Saudi Arabia 
www.abcar.co.uk	1	14.28500%	0	0%	4	57.14200%	2	28.57100%	
www.abdelhalimhafiz.com	4	28.57100%	3	21.42800%	5	35.71400%	2	14.28500%	
www.absba.info	0	0%	0	0%	50	100.00000%	0	0%	
www.abunawaf.com	42	21.42800%	12	6.12200%	126	64.28500%	16	8.16300%	
www.accuweather.com	5	13.88800%	0	0%	30	83.33300%	1	2.77700%	
www.acronymfinder.com	2	16.66600%	1	8.33300%	9	75.00000%	0	0%	
www.actiontec.com	0	0%	0	0%	12	100.00000%	0	0%	
www.ad-financial.com	0	0%	0	0%	1	100.00000%	0	0%	
www.ad.ae	8	29.62900%	2	7.40700%	15	55.55500%	2	7.40700%	
